corpus;match_position;left context;match;right_context;Kodning;text_gender;corpus_id;text_nationality;text_illustrations;text_subtitle;text_publisher;text_id;text_pseudonym;text_pages;text_source;text_surname;text_file_id;text_year;text_typeface;text_volume;text_price;text_title;text_firstname
MeMo corpus v. 0.5;823971;sidste Tid har været Gjenstand . “ „ Det er imidlertid kun en lille Trøst før den , i hvis;Skjæbne;det er falden af flulle være den Omhyggelige . Jeg beklager inderligt og af mit ganske Hjerte , af saa;0;m;MEMO_ALL;dk;n;Livsbillede;Chr. Steen & Søn;1870_Dodt_AegteOgUaegte;;517;KB;Dodt;130023646405;1870;gothic;;5,35;Ægte og Uægte;Beatus
MeMo corpus v. 0.5;10315519;. Det er en Selvfølge , at Du skal overbringe dem Alle min inderligste Tak for deres Deltagelse i min;Skjæbne;, og netop fordi Du har op-traadt i dit eget Navn , vil det være Dig let at forklare dem;1;m;MEMO_ALL;dk;n;Skildring af Hverdagslivet;Carl Lund;1875_SoerensenC_IvarIvarson;Carl Hermann;256;KB;Sørensen;130024221807;1875;gothic;;;Ivar Ivarson;Carl
MeMo corpus v. 0.5;27950409;og slyngede sine Arme om sin unge Hustrus fine Skikkelse . Den Skælven , som overkom den , i sin;Skæbne;hengivne unge Kvinde , opfattede han som Uskyldighedens ubevidste Kærlighedstrang , og herved opflammedes hans Lidenskab så meget mere .;1;m;MEMO_ALL;dk;y;Roman;V. Pio.;1883_Feddersen_EtAegteskab;;347;KB;Feddersen;130023414792;1883;roman;;1,5;Et Ægteskab;Benjamin
MeMo corpus v. 0.5;58547408;, Floden og Sletten , over hvilken Vejen nu snoede sig hvid som et Sølvbaand — den Vej , hvorfra;Skæbnen;, Fremtiden , Befrieren skulde komme til « det hvide Slot » . Saa i denne samme sene , maanelyse;0;f;MEMO_ALL;dk;n;Roman;Det Nordiske Forlag;1898_MallingM_DonaYsabel;;310;KB;Malling;130024225748;1898;roman;;5,5;Doña Ysabel;Mathilda
MeMo corpus v. 0.5;18918040;"at i dette Tilfælde den mindst ufordelagtige burde antages ; hvoraf fulgte , at man Heller maatte underkaste sig den";Skjæbne;"at opofre Flaaden , end opofre baade denne og det Hele ; hvortil han endnu maatte tilføie den Bemærkning ,";0;m;MEMO_ALL;dk;y;Original historisk Roman med Portræter;Carl Lund;1878_SoerensenC_AltForFaedrelandet;Carl Hermann;678;KB;Sørensen;115704009011;1878;gothic;;;Alt for Fædrelandet;Carl
MeMo corpus v. 0.5;28406255;Rygtet om den lidende Dreng , der var kommen paa Fattighuset med de andre to Børn , og om Moderens;Skæbne;forblev ikke uden Virkning paa den rasende Befolkning og mange vare de knyttede Hænder , der truede Gotlieb . .;1;m;MEMO_ALL;dk;n;Original romantisk Fortælling;A. Behrend;1883_Holm_KittyEllerKirkeklokkenIFarum;;1. del: 426, 2. del: 403;KB;Holm;130023488427;1883;gothic;;5,2;Kitty eller Kirkeklokken i Farum;Holger Bernhard
MeMo corpus v. 0.5;28172055;Forundring afviste hun alle . Da nu den fjerde , som var et særlig godt Parti , skulde have samme;Skjæbne;, trængte baade Fader og Moder , enkeltvis og i Fællesskab , stærkt ind paa hende , for at faa;1;m;MEMO_ALL;dk;n;Kjærlighedshistorie fra det virkelige Liv;Forfatteren;1883_GudmandHoeyer_DenHvidePigePaaBogoe;;361;KB;Gudmand-Høyer;130023096111;1883;roman;;3;Den hvide Pige paa Bogø;Julius Villiam
MeMo corpus v. 0.5;38035679;, Besiddelse , betroende sig til hvemsomhelst , der intet hørte , men kun talte selv , ramt af samme;Skæbne;, hidsig og fortvivlet som en bedragen Jøde paa en Markedsplads , tællende Værdipapirerne , han har reddet — og;0;m;MEMO_ALL;dk;n;;Schubothe;1889_BangH_Tine;;287;KB;Bang;130017163605;1889;roman;;5;Tine;Herman 
MeMo corpus v. 0.5;10499391;fra den Forudsætning , at Holger Urne vil holde Eder tilbage . I tager en altfor levende Del i hans;Skjæbne;, til at I vilde være istand til at forlade Danmark , før I kjender dens Afgjørelse . Holger Urne;0;m;MEMO_ALL;dk;y;Fædrelandshistorisk Skildring fra det attende Aarhundrede;Carl Lund;1875_SoerensenC_KjaerlighedVedHoffet;Carl Hermann;658;KB;Sørensen;115704008964;1875;gothic;;;Kjærlighed ved Hoffet;Carl
MeMo corpus v. 0.5;7041051;en saadan Maade atjegigrunden maatte give ham Ret . Tilfældighederne — sagde han — vedkommer kun Skæbnen for saa vidt;Skæbnen;er Resullatet af den Maade hvorpaa Individet behandler Tilfældighederne . Men da nu de forskellige Temperementer gør Deres Indskydelse paa;0;;MEMO_ALL;dk;n;Historisk Roman;P. Olsen;1874_Karstens_GrevindeDanner_1;;736;KB;Karstens;130023648076;1874;gothic;1;;Grevinde Danner;Kamillo
MeMo corpus v. 0.5;6874289;En navnløs Fortvivlelse sammenknugede Palles Hjerte . Han sprang frem , som vilde han kaste sig i Havet og dele;Skæbne;"med de elskede Forældre ; men pludselig vaklede han ; det blev mørkt for hans Øjne , og han faldt";0;m;MEMO_ALL;dk;y;Fortælling med 4 Billeder;Jespersen;1874_HenningsenE_PalleHougaard;;183;KB;Henningsen;130024100619;1874;gothic;;2;Palle Hougaard;Emanuel
MeMo corpus v. 0.5;59775959;er i en , af de gode og af de ringe . De er der . Der er ingen anden;Skæbne;til end den , de skaber . Det hændte mig , at jeg traf din Moder . Den Gang levede;1;m;MEMO_ALL;dk;n;;Det Nordiske Forlag;1898_Stuckenberg_Hjemfalden;;133;KB;Stuckenberg;130021306909;1898;roman;;2;Hjemfalden;Viggo
MeMo corpus v. 0.5;44173766;Ellen , Ellen , naar vil vi igen være forenede ? Her eller hisset oppe ? Dog , hvorledes end;Skæbnen;besfemmer , jeg vil i Nødsfald byde den Trods , En modig Mand formaar meget , og ligger jeg under;0;m;MEMO_ALL;dk;y;;A. W. Henningsen;1892_Richter_DonRedandoEllerKaerlighedOgKamp_1;;639;KB;Richter;130024101496;1892;gothic;1;(se note);Don Redando eller Kærlighed og Kamp;Hans
